neurons,learning_rate,config,splits,epochs,loss,accuracy,mse,val_loss,val_acc,val_mse,test_loss,test_acc,test_mse
16,0.001,"16, Dropout(0.5), 16, Dropout(0.5)","test=0.3, val=0.1",189,0.1682,0.95,0.0464,0.1665,0.88,0.0508,0.1992,0.9433,0.0477
32,0.001,"32, Dropout(0.5), 32, Dropout(0.5)","test=0.2, val=0.1",127,0.1218,0.9643,0.0301,0.0824,0.9643,0.0247,0.16509076053093016,0.9436619877815247,0.04654712602496147
