,neurons,learning_rate,epochs,accuracy,mse
0,16,0.0001,100,0.795918345451355,0.1549973338842392
1,16,0.0001,200,0.9061224460601807,0.08418764919042587
2,16,0.0001,300,0.9061224460601807,0.07245616614818573
3,16,0.0001,400,0.8938775658607483,0.06528054922819138
4,16,0.00035938136638046257,100,0.8979591727256775,0.06850092113018036
5,16,0.00035938136638046257,200,0.9306122660636902,0.047198906540870667
6,16,0.00035938136638046257,300,0.9673469662666321,0.02306094579398632
7,16,0.00035938136638046257,400,0.9877551198005676,0.014736759476363659
8,16,0.001291549665014884,100,0.9877551198005676,0.01647251658141613
9,16,0.001291549665014884,200,0.9959183931350708,0.006278977729380131
10,16,0.001291549665014884,300,0.9959183931350708,0.0046027894131839275
11,16,0.001291549665014884,400,0.9959183931350708,0.0026125526055693626
12,16,0.004641588833612782,100,0.9959183931350708,0.004467017482966185
13,16,0.004641588833612782,200,1.0,0.0004846812807954848
14,16,0.004641588833612782,300,1.0,3.4223452530568466e-05
15,16,0.004641588833612782,400,1.0,8.738868018554058e-06
16,16,0.016681005372000592,100,1.0,0.0006077504949644208
17,16,0.016681005372000592,200,1.0,1.1043638323826599e-06
18,16,0.016681005372000592,300,1.0,3.3567826562830305e-07
19,16,0.016681005372000592,400,1.0,2.9228999665065203e-07
20,16,0.05994842503189409,100,1.0,4.2035679825858097e-07
21,16,0.05994842503189409,200,1.0,5.706876393674065e-08
22,16,0.05994842503189409,300,1.0,1.4553405591755109e-08
23,16,0.05994842503189409,400,1.0,1.733645893509106e-09
24,16,0.21544346900318845,100,0.9959183931350708,0.0033210243564099073
25,16,0.21544346900318845,200,1.0,1.0987392329298018e-08
26,16,0.21544346900318845,300,0.9959183931350708,0.0037876435089856386
27,16,0.21544346900318845,400,0.9836734533309937,0.01258604321628809
28,16,0.7742636826811278,100,0.9877551198005676,0.011163691990077496
29,16,0.7742636826811278,200,0.9877551198005676,0.010765105485916138
30,16,0.7742636826811278,300,0.9714285731315613,0.020850734785199165
31,16,0.7742636826811278,400,0.9959183931350708,0.003910003695636988
32,16,2.782559402207126,100,0.9428571462631226,0.03263955935835838
33,16,2.782559402207126,200,0.9551020264625549,0.03454422950744629
34,16,2.782559402207126,300,0.9673469662666321,0.030710555613040924
35,16,2.782559402207126,400,0.9918367266654968,0.007287811953574419
36,16,10.0,100,0.9551020264625549,0.03470666706562042
37,16,10.0,200,0.9755101799964905,0.024486880749464035
38,16,10.0,300,0.9551020264625549,0.03431561216711998
39,16,10.0,400,0.9795918464660645,0.020379934459924698
40,32,0.0001,100,0.8612244725227356,0.10467563569545746
41,32,0.0001,200,0.8979591727256775,0.07208393514156342
42,32,0.0001,300,0.9265305995941162,0.05200525000691414
43,32,0.0001,400,0.9469387531280518,0.04484688118100166
44,32,0.00035938136638046257,100,0.9102040529251099,0.06372132897377014
45,32,0.00035938136638046257,200,0.9836734533309937,0.019393950700759888
46,32,0.00035938136638046257,300,0.9877551198005676,0.01315183937549591
47,32,0.00035938136638046257,400,0.9918367266654968,0.009292039088904858
48,32,0.001291549665014884,100,0.9918367266654968,0.009868558496236801
49,32,0.001291549665014884,200,0.9959183931350708,0.004341140855103731
50,32,0.001291549665014884,300,0.9959183931350708,0.0024343193508684635
51,32,0.001291549665014884,400,1.0,0.0007449834374710917
52,32,0.004641588833612782,100,0.9959183931350708,0.0014116537058725953
53,32,0.004641588833612782,200,1.0,5.738941399613395e-05
54,32,0.004641588833612782,300,1.0,6.9297475420171395e-06
55,32,0.004641588833612782,400,1.0,2.0736160877277143e-06
56,32,0.016681005372000592,100,1.0,7.710681529715657e-06
57,32,0.016681005372000592,200,1.0,3.0141004003780836e-07
58,32,0.016681005372000592,300,1.0,1.0790037663355179e-07
59,32,0.016681005372000592,400,1.0,1.1407647271255428e-08
60,32,0.05994842503189409,100,1.0,3.7181629863880516e-07
